case_number,source,source_date_end
23-039371,dv_final_enriched.csv,2025-10-29
23-039659,dv_final_enriched.csv,2025-10-29
23-040051,dv_final_enriched.csv,2025-10-29
23-040522,dv_final_enriched.csv,2025-10-29
23-040813,dv_final_enriched.csv,2025-10-29
23-041185,dv_final_enriched.csv,2025-10-29
23-041884,dv_final_enriched.csv,2025-10-29
23-042012,dv_final_enriched.csv,2025-10-29
23-042123,dv_final_enriched.csv,2025-10-29
23-042785,dv_final_enriched.csv,2025-10-29
23-043071,dv_final_enriched.csv,2025-10-29
23-043475,dv_final_enriched.csv,2025-10-29
23-043712,dv_final_enriched.csv,2025-10-29
23-043825,dv_final_enriched.csv,2025-10-29
23-043965,dv_final_enriched.csv,2025-10-29
23-044068,dv_final_enriched.csv,2025-10-29
23-044381,dv_final_enriched.csv,2025-10-29
23-045158,dv_final_enriched.csv,2025-10-29
23-045248,dv_final_enriched.csv,2025-10-29
23-045370,dv_final_enriched.csv,2025-10-29
23-045761,dv_final_enriched.csv,2025-10-29
23-045981,dv_final_enriched.csv,2025-10-29
23-045997,dv_final_enriched.csv,2025-10-29
23-046075,dv_final_enriched.csv,2025-10-29
23-046479,dv_final_enriched.csv,2025-10-29
23-047085,dv_final_enriched.csv,2025-10-29
23-047200,dv_final_enriched.csv,2025-10-29
23-048118,dv_final_enriched.csv,2025-10-29
23-048620,dv_final_enriched.csv,2025-10-29
23-048871,dv_final_enriched.csv,2025-10-29
23-048946,dv_final_enriched.csv,2025-10-29
23-049484,dv_final_enriched.csv,2025-10-29
23-049519,dv_final_enriched.csv,2025-10-29
23-049815,dv_final_enriched.csv,2025-10-29
23-049889,dv_final_enriched.csv,2025-10-29
23-049928,dv_final_enriched.csv,2025-10-29
23-050051,dv_final_enriched.csv,2025-10-29
23-050239,dv_final_enriched.csv,2025-10-29
23-050477,dv_final_enriched.csv,2025-10-29
23-050778,dv_final_enriched.csv,2025-10-29
23-050994,dv_final_enriched.csv,2025-10-29
23-050998,dv_final_enriched.csv,2025-10-29
23-051138,dv_final_enriched.csv,2025-10-29
23-051251,dv_final_enriched.csv,2025-10-29
23-051400,dv_final_enriched.csv,2025-10-29
23-051440,dv_final_enriched.csv,2025-10-29
23-051610,dv_final_enriched.csv,2025-10-29
23-051718,dv_final_enriched.csv,2025-10-29
23-051741,dv_final_enriched.csv,2025-10-29
23-051995,dv_final_enriched.csv,2025-10-29
23-052401,dv_final_enriched.csv,2025-10-29
23-052407,dv_final_enriched.csv,2025-10-29
23-052713,dv_final_enriched.csv,2025-10-29
23-052738,dv_final_enriched.csv,2025-10-29
23-052803,dv_final_enriched.csv,2025-10-29
23-053034,dv_final_enriched.csv,2025-10-29
23-053076,dv_final_enriched.csv,2025-10-29
23-053145,dv_final_enriched.csv,2025-10-29
23-053610,dv_final_enriched.csv,2025-10-29
23-054147,dv_final_enriched.csv,2025-10-29
23-054175,dv_final_enriched.csv,2025-10-29
23-054238,dv_final_enriched.csv,2025-10-29
23-054513,dv_final_enriched.csv,2025-10-29
23-054572,dv_final_enriched.csv,2025-10-29
23-054938,dv_final_enriched.csv,2025-10-29
23-055115,dv_final_enriched.csv,2025-10-29
23-055480,dv_final_enriched.csv,2025-10-29
23-055556,dv_final_enriched.csv,2025-10-29
23-055623,dv_final_enriched.csv,2025-10-29
23-055656,dv_final_enriched.csv,2025-10-29
23-056107,dv_final_enriched.csv,2025-10-29
23-057088,dv_final_enriched.csv,2025-10-29
23-057289,dv_final_enriched.csv,2025-10-29
23-057320,dv_final_enriched.csv,2025-10-29
23-057786,dv_final_enriched.csv,2025-10-29
23-058215,dv_final_enriched.csv,2025-10-29
23-058344,dv_final_enriched.csv,2025-10-29
23-058818,dv_final_enriched.csv,2025-10-29
23-059262,dv_final_enriched.csv,2025-10-29
23-059475,dv_final_enriched.csv,2025-10-29
23-060934,dv_final_enriched.csv,2025-10-29
23-062413,dv_final_enriched.csv,2025-10-29
23-062620,dv_final_enriched.csv,2025-10-29
23-062922,dv_final_enriched.csv,2025-10-29
23-063470,dv_final_enriched.csv,2025-10-29
23-063590,dv_final_enriched.csv,2025-10-29
23-063774,dv_final_enriched.csv,2025-10-29
23-064327,dv_final_enriched.csv,2025-10-29
23-064601,dv_final_enriched.csv,2025-10-29
23-065173,dv_final_enriched.csv,2025-10-29
23-065401,dv_final_enriched.csv,2025-10-29
23-065983,dv_final_enriched.csv,2025-10-29
23-066105,dv_final_enriched.csv,2025-10-29
23-066225,dv_final_enriched.csv,2025-10-29
23-066836,dv_final_enriched.csv,2025-10-29
23-066863,dv_final_enriched.csv,2025-10-29
23-067005,dv_final_enriched.csv,2025-10-29
23-067072,dv_final_enriched.csv,2025-10-29
23-067189,dv_final_enriched.csv,2025-10-29
23-067280,dv_final_enriched.csv,2025-10-29
23-067284,dv_final_enriched.csv,2025-10-29
23-067533,dv_final_enriched.csv,2025-10-29
23-067856,dv_final_enriched.csv,2025-10-29
23-067923,dv_final_enriched.csv,2025-10-29
23-068112,dv_final_enriched.csv,2025-10-29
23-068234,dv_final_enriched.csv,2025-10-29
23-069243,dv_final_enriched.csv,2025-10-29
23-069291,dv_final_enriched.csv,2025-10-29
23-069430,dv_final_enriched.csv,2025-10-29
23-069589,dv_final_enriched.csv,2025-10-29
23-069600,dv_final_enriched.csv,2025-10-29
23-070133,dv_final_enriched.csv,2025-10-29
23-070512,dv_final_enriched.csv,2025-10-29
23-071147,dv_final_enriched.csv,2025-10-29
23-071267,dv_final_enriched.csv,2025-10-29
23-071278,dv_final_enriched.csv,2025-10-29
23-071352,dv_final_enriched.csv,2025-10-29
23-071537,dv_final_enriched.csv,2025-10-29
23-072013,dv_final_enriched.csv,2025-10-29
23-072482,dv_final_enriched.csv,2025-10-29
23-072779,dv_final_enriched.csv,2025-10-29
23-073055,dv_final_enriched.csv,2025-10-29
23-073246,dv_final_enriched.csv,2025-10-29
23-073492,dv_final_enriched.csv,2025-10-29
23-074401,dv_final_enriched.csv,2025-10-29
23-074519,dv_final_enriched.csv,2025-10-29
23-074685,dv_final_enriched.csv,2025-10-29
23-074920,dv_final_enriched.csv,2025-10-29
23-075324,dv_final_enriched.csv,2025-10-29
23-075549,dv_final_enriched.csv,2025-10-29
23-075645,dv_final_enriched.csv,2025-10-29
23-075873,dv_final_enriched.csv,2025-10-29
23-076271,dv_final_enriched.csv,2025-10-29
23-076279,dv_final_enriched.csv,2025-10-29
23-076326,dv_final_enriched.csv,2025-10-29
23-076442,dv_final_enriched.csv,2025-10-29
23-076649,dv_final_enriched.csv,2025-10-29
23-076686,dv_final_enriched.csv,2025-10-29
23-076998,dv_final_enriched.csv,2025-10-29
23-077454,dv_final_enriched.csv,2025-10-29
23-077555,dv_final_enriched.csv,2025-10-29
23-077575,dv_final_enriched.csv,2025-10-29
23-077716,dv_final_enriched.csv,2025-10-29
23-077822,dv_final_enriched.csv,2025-10-29
23-078389,dv_final_enriched.csv,2025-10-29
23-078583,dv_final_enriched.csv,2025-10-29
23-079331,dv_final_enriched.csv,2025-10-29
23-079846,dv_final_enriched.csv,2025-10-29
23-079965,dv_final_enriched.csv,2025-10-29
23-080050,dv_final_enriched.csv,2025-10-29
23-080463,dv_final_enriched.csv,2025-10-29
23-080773,dv_final_enriched.csv,2025-10-29
